id,summary,cwe,cvss_score,cvss_vector,severity,owasp,status,owner,opened_at,remediated_at,retest_at,evidence_path
PSY-2026Q3-F-001,"LLM proxy: system-prompt exfiltration via ""ignore previous instructions"" jailbreak through copilotRelay endpoint",CWE-77,8.6,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:L/A:N,High,LLM01,open,ai-wg,2026-05-20,,,docs/security/evidence/2026q3/F-001/
PSY-2026Q3-F-002,"Cross-tenant Firestore read: clinician in tenant A can list /tenants/B/patients when custom claim 'tid' is briefly stale after role change",CWE-285,9.1,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,Critical,API1,fixed_pending_retest,platform-wg,2026-05-18,2026-06-02,2026-06-12,docs/security/evidence/2026q3/F-002/
PSY-2026Q3-F-003,"RAG client API key (RAG_API_KEY) embedded in web build bundle when --dart-define passes plaintext; visible in DevTools Source",CWE-798,7.5,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,High,API2,open,ai-wg,2026-06-10,,,docs/security/evidence/2026q3/F-003/
PSY-2026Q3-F-004,"WebAuthn authentication: no per-IP rate limit on /passkeyAuth challenge endpoint enables credential-id enumeration timing attack",CWE-307,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Medium,API4,open,auth-wg,2026-05-25,,,docs/security/evidence/2026q3/F-004/
PSY-2026Q3-F-005,"PHI leakage in Cloud Logging: unhandled exceptions in passkey_authenticate.ts include raw uid + credential id when verification throws before redaction",CWE-532,6.5,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:C/C:H/I:N/A:N,Medium,API8,fixed_pending_retest,sec-team,2026-05-22,2026-06-05,2026-06-13,docs/security/evidence/2026q3/F-005/
PSY-2026Q3-F-006,"Stripe webhook replay window 15 minutes in checkout_service exceeds Stripe recommendation of 5 minutes; signed event replay possible during clock skew",CWE-294,4.3,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:L/A:N,Medium,API8,open,billing-wg,2026-06-01,,,docs/security/evidence/2026q3/F-006/
PSY-2026Q3-F-007,"Telehealth room token visible in Referer header when participant clicks external citation link in session notes panel",CWE-200,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:H/I:N/A:N,Medium,API3,open,platform-wg,2026-05-28,,,docs/security/evidence/2026q3/F-007/
PSY-2026Q3-F-008,"Audit log hash-chain integrity verification only triggered on Trust Center page load; accessReviewCron does not assert chain before access review",CWE-353,4.4,CVSS:3.1/AV:L/AC:L/PR:H/UI:N/S:U/C:N/I:H/A:N,Medium,API8,open,sec-team,2026-06-03,,,docs/security/evidence/2026q3/F-008/
PSY-2026Q3-F-009,"Patient PWA service worker caches authenticated /portal/inbox responses; shared kiosk session reveals prior patient inbox after logout",CWE-525,7.4,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:N,High,API7,open,patient-portal-wg,2026-06-04,,,docs/security/evidence/2026q3/F-009/
PSY-2026Q3-F-010,"iOS Hand-off NSUserActivity title contains patient initials when SessionHandoffActivity broadcasts; visible on locked Apple Watch glance",CWE-359,5.0,CVSS:3.1/AV:P/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,Medium,MASVS-STORAGE-2,fixed_pending_retest,mobile-wg,2026-05-30,2026-06-08,2026-06-15,docs/security/evidence/2026q3/F-010/
PSY-2026Q3-F-011,"Healthcheck deep mode (/healthcheck?deep=true) callable without auth allows IAM listUsers timing enumeration of clinician emails",CWE-639,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,Medium,API5,open,platform-wg,2026-06-06,,,docs/security/evidence/2026q3/F-011/
PSY-2026Q3-F-012,"Patient self-service invite link valid for 7 days and reusable; should be one-time-use with 24h expiry per OWASP ASVS V2.3.1",CWE-613,3.7,CVSS:3.1/AV:N/AC:H/PR:N/UI:R/S:U/C:L/I:N/A:N,Low,API2,open,patient-portal-wg,2026-06-09,,,docs/security/evidence/2026q3/F-012/
